index,fileid,qid,question,origanswer,generatedanswer,correctness
0,12,2496034,Choose the correct order of the events?,0,1,0
1,12,24961,Choose the correct order of the events?,3,3,1
2,12,249627,Choose the correct order of the events?,2,2,1
3,12,249637,Choose the correct order of the events?,0,0,1
4,12,2497006,Choose the correct order of the events?,2,1,0
5,12,249706,Choose the correct order of the events?,2,3,0
6,12,2497218,Choose the correct order of the events?,1,0,0
7,12,249746,Choose the correct order of the events?,1,2,0
8,12,249768,Choose the correct order of the events?,1,3,0
9,12,249826,Choose the correct order of the events?,2,0,0
10,12,249913,Choose the correct order of the events?,0,3,0
11,12,249929,Choose the correct order of the events?,0,1,0
12,12,249948,Choose the correct order of the events?,1,3,0
13,12,2499679,Choose the correct order of the events?,3,0,0
14,12,2499688,Choose the correct order of the events?,1,1,1
15,12,2499779,Choose the correct order of the events?,3,2,0
16,12,2499869,Choose the correct order of the events?,1,0,0
17,12,2500066,Choose the correct order of the events?,1,3,0
18,12,2500070,Choose the correct order of the events?,3,2,0
19,12,2500404,Choose the correct order of the events?,2,0,0
20,12,2500452,Choose the correct order of the events?,0,3,0
21,12,2500505,Choose the correct order of the events?,3,1,0
22,12,250117,Choose the correct order of the events?,1,0,0
23,12,2501784,Choose the correct order of the events?,2,0,0
24,12,2502229,Choose the correct order of the events?,2,0,0
25,12,250228,Choose the correct order of the events?,0,1,0
26,12,250232,Choose the correct order of the events?,0,0,1
27,12,250272,Choose the correct order of the events?,1,3,0
28,12,2503334,Choose the correct order of the events?,3,2,0
29,12,2503486,Choose the correct order of the events?,2,2,1
30,12,2503702,Choose the correct order of the events?,2,3,0
31,12,2503750,Choose the correct order of the events?,2,2,1
32,12,25046,Choose the correct order of the events?,1,0,0
33,12,2504935,Choose the correct order of the events?,1,0,0
34,12,2505418,Choose the correct order of the events?,1,3,0
35,12,2506470,Choose the correct order of the events?,1,2,0
36,12,2506747,Choose the correct order of the events?,1,1,1
37,12,25067,Choose the correct order of the events?,2,0,0
38,12,250748,Choose the correct order of the events?,2,2,1
39,12,2507522,Choose the correct order of the events?,1,3,0
40,12,2507670,Choose the correct order of the events?,3,3,1
41,12,250829,Choose the correct order of the events?,1,2,0
42,12,2508487,Choose the correct order of the events?,1,1,1
43,12,25085,Choose the correct order of the events?,3,2,0
44,12,2508629,Choose the correct order of the events?,2,2,1
45,12,2509611,Choose the correct order of the events?,1,0,0
46,12,2509616,Choose the correct order of the events?,3,1,0
47,12,2509715,Choose the correct order of the events?,0,0,1
48,12,25100,Choose the correct order of the events?,0,1,0
49,12,2510985,Choose the correct order of the events?,1,2,0
50,12,2510988,Choose the correct order of the events?,3,1,0
51,12,2510,Choose the correct order of the events?,2,0,0
52,12,2511045,Choose the correct order of the events?,1,1,1
53,12,2511233,Choose the correct order of the events?,3,0,0
54,12,2511235,Choose the correct order of the events?,3,1,0
55,12,2511332,Choose the correct order of the events?,0,0,1
56,12,2511422,Choose the correct order of the events?,1,3,0
57,12,2511,Choose the correct order of the events?,1,3,0
58,12,2512733,Choose the correct order of the events?,2,2,1
59,12,2512874,Choose the correct order of the events?,0,2,0
60,12,2512,Choose the correct order of the events?,2,3,0
61,12,251388,Choose the correct order of the events?,0,1,0
62,12,251407,Choose the correct order of the events?,2,2,1
63,12,251417,Choose the correct order of the events?,0,0,1
64,12,251422,Choose the correct order of the events?,0,0,1
65,12,2514434,Choose the correct order of the events?,3,2,0
66,12,2515020,Choose the correct order of the events?,2,0,0
67,12,2515618,Choose the correct order of the events?,1,3,0
68,12,2515628,Choose the correct order of the events?,2,0,0
69,12,2515901,Choose the correct order of the events?,1,2,0
70,12,2516001,Choose the correct order of the events?,1,0,0
71,12,251605,Choose the correct order of the events?,1,1,1
72,12,2516468,Choose the correct order of the events?,2,2,1
73,12,2516494,Choose the correct order of the events?,2,3,0
74,12,2516553,Choose the correct order of the events?,2,3,0
75,12,2516584,Choose the correct order of the events?,3,2,0
76,12,251678,Choose the correct order of the events?,1,2,0
77,12,251684,Choose the correct order of the events?,1,0,0
78,12,2516932,Choose the correct order of the events?,2,1,0
79,12,251732,Choose the correct order of the events?,2,0,0
80,12,2517998,Choose the correct order of the events?,0,0,1
81,12,2518102,Choose the correct order of the events?,2,3,0
82,12,25184,Choose the correct order of the events?,0,2,0
83,12,2518589,Choose the correct order of the events?,2,2,1
84,12,251893,Choose the correct order of the events?,1,3,0
85,12,2519067,Choose the correct order of the events?,0,2,0
86,12,2519302,Choose the correct order of the events?,2,0,0
87,12,2519398,Choose the correct order of the events?,3,1,0
88,12,2519618,Choose the correct order of the events?,3,3,1
89,12,251985,Choose the correct order of the events?,2,1,0
