index,fileid,qid,question,origanswer,generatedanswer,correctness
0,15,399418,Choose the correct order of the events?,0,0,1
1,15,399422,Choose the correct order of the events?,0,2,0
2,15,399472,Choose the correct order of the events?,2,0,0
3,15,399476,Choose the correct order of the events?,2,3,0
4,15,399548,Choose the correct order of the events?,1,3,0
5,15,3995500,Choose the correct order of the events?,1,2,0
6,15,39962,Choose the correct order of the events?,0,3,0
7,15,3996503,Choose the correct order of the events?,0,2,0
8,15,399652,Choose the correct order of the events?,2,0,0
9,15,3996642,Choose the correct order of the events?,2,0,0
10,15,3996819,Choose the correct order of the events?,0,3,0
11,15,399788,Choose the correct order of the events?,0,2,0
12,15,3998215,Choose the correct order of the events?,3,3,1
13,15,39982,Choose the correct order of the events?,2,2,1
14,15,399840,Choose the correct order of the events?,0,0,1
15,15,399908,Choose the correct order of the events?,0,0,1
16,15,3999851,Choose the correct order of the events?,1,2,0
17,15,3999859,Choose the correct order of the events?,0,2,0
18,15,4000173,Choose the correct order of the events?,1,3,0
19,15,400045,Choose the correct order of the events?,1,0,0
20,15,4000777,Choose the correct order of the events?,1,1,1
21,15,4000783,Choose the correct order of the events?,2,3,0
22,15,4001190,Choose the correct order of the events?,1,0,0
23,15,400119,Choose the correct order of the events?,2,1,0
24,15,400181,Choose the correct order of the events?,0,0,1
25,15,40021,Choose the correct order of the events?,1,0,0
26,15,400278,Choose the correct order of the events?,1,1,1
27,15,40030,Choose the correct order of the events?,3,1,0
28,15,40037,Choose the correct order of the events?,3,1,0
29,15,400386,Choose the correct order of the events?,1,0,0
30,15,400422,Choose the correct order of the events?,0,3,0
31,15,400437,Choose the correct order of the events?,3,2,0
32,15,40045,Choose the correct order of the events?,1,1,1
33,15,400546,Choose the correct order of the events?,3,3,1
34,15,4005792,Choose the correct order of the events?,2,3,0
35,15,40058,Choose the correct order of the events?,2,2,1
36,15,400606,Choose the correct order of the events?,2,0,0
37,15,400626,Choose the correct order of the events?,1,2,0
38,15,400630,Choose the correct order of the events?,2,1,0
39,15,400639,Choose the correct order of the events?,3,3,1
40,15,400670,Choose the correct order of the events?,3,2,0
41,15,400673,Choose the correct order of the events?,0,3,0
42,15,40069,Choose the correct order of the events?,3,0,0
43,15,4007463,Choose the correct order of the events?,2,3,0
44,15,400861,Choose the correct order of the events?,1,0,0
45,15,400880,Choose the correct order of the events?,2,2,1
46,15,400923,Choose the correct order of the events?,3,0,0
47,15,400928,Choose the correct order of the events?,0,0,1
48,15,400949,Choose the correct order of the events?,1,0,0
49,15,401117,Choose the correct order of the events?,3,1,0
50,15,4011412,Choose the correct order of the events?,3,0,0
51,15,401155,Choose the correct order of the events?,2,0,0
52,15,401156,Choose the correct order of the events?,3,3,1
53,15,401161,Choose the correct order of the events?,2,1,0
54,15,401225,Choose the correct order of the events?,2,2,1
55,15,40123,Choose the correct order of the events?,0,0,1
56,15,401256,Choose the correct order of the events?,3,2,0
57,15,401271,Choose the correct order of the events?,3,2,0
58,15,4014475,Choose the correct order of the events?,2,0,0
59,15,4015016,Choose the correct order of the events?,2,0,0
60,15,401572,Choose the correct order of the events?,0,3,0
61,15,401597,Choose the correct order of the events?,2,0,0
62,15,40160,Choose the correct order of the events?,0,0,1
63,15,40164,Choose the correct order of the events?,0,2,0
64,15,401657,Choose the correct order of the events?,2,2,1
65,15,401674,Choose the correct order of the events?,1,0,0
66,15,4017272,Choose the correct order of the events?,2,1,0
67,15,40172,Choose the correct order of the events?,2,0,0
68,15,4017350,Choose the correct order of the events?,0,2,0
69,15,4017379,Choose the correct order of the events?,3,2,0
70,15,401781,Choose the correct order of the events?,3,2,0
71,15,4017992,Choose the correct order of the events?,1,2,0
72,15,40186,Choose the correct order of the events?,3,0,0
73,15,4018840,Choose the correct order of the events?,1,2,0
74,15,4018975,Choose the correct order of the events?,0,0,1
75,15,401925,Choose the correct order of the events?,1,1,1
76,15,401936,Choose the correct order of the events?,1,3,0
77,15,4019935,Choose the correct order of the events?,3,0,0
78,15,402004,Choose the correct order of the events?,1,1,1
79,15,402052,Choose the correct order of the events?,0,2,0
80,15,4020,Choose the correct order of the events?,3,3,1
81,15,4021029,Choose the correct order of the events?,3,3,1
82,15,4021081,Choose the correct order of the events?,2,3,0
83,15,4021116,Choose the correct order of the events?,2,3,0
84,15,402112,Choose the correct order of the events?,2,3,0
85,15,4021133,Choose the correct order of the events?,0,3,0
86,15,4021149,Choose the correct order of the events?,2,3,0
87,15,4021177,Choose the correct order of the events?,2,3,0
88,15,4021240,Choose the correct order of the events?,2,2,1
89,15,4021252,Choose the correct order of the events?,2,3,0
90,15,4021254,Choose the correct order of the events?,2,1,0
91,15,4021346,Choose the correct order of the events?,1,0,0
92,15,4021662,Choose the correct order of the events?,0,3,0
93,15,40220,Choose the correct order of the events?,3,0,0
94,15,402280,Choose the correct order of the events?,2,2,1
95,15,4022939,Choose the correct order of the events?,0,1,0
96,15,4023050,Choose the correct order of the events?,1,1,1
97,15,402317,Choose the correct order of the events?,2,2,1
98,15,4023736,Choose the correct order of the events?,3,0,0
99,15,4023811,Choose the correct order of the events?,3,2,0
100,15,4023,Choose the correct order of the events?,1,0,0
101,15,402402,Choose the correct order of the events?,2,3,0
102,15,402408,Choose the correct order of the events?,1,3,0
103,15,402425,Choose the correct order of the events?,3,3,1
104,15,4024494,Choose the correct order of the events?,3,3,1
105,15,402451,Choose the correct order of the events?,0,3,0
106,15,4024896,Choose the correct order of the events?,0,2,0
107,15,4024959,Choose the correct order of the events?,0,1,0
108,15,402579,Choose the correct order of the events?,3,3,1
