index,fileid,qid,question,origanswer,generatedanswer,correctness
0,5,1221509,Choose the correct order of the events?,3,0,0
1,5,122171,Choose the correct order of the events?,2,0,0
2,5,1221732,Choose the correct order of the events?,0,0,1
3,5,1221768,Choose the correct order of the events?,0,0,1
4,5,1221782,Choose the correct order of the events?,0,0,1
5,5,1221938,Choose the correct order of the events?,0,1,0
6,5,1221970,Choose the correct order of the events?,0,0,1
7,5,122199,Choose the correct order of the events?,0,1,0
8,5,12220,Choose the correct order of the events?,3,0,0
9,5,1222220,Choose the correct order of the events?,0,0,1
10,5,1222241,Choose the correct order of the events?,1,1,1
11,5,122241,Choose the correct order of the events?,0,0,1
12,5,1222451,Choose the correct order of the events?,1,1,1
13,5,122247,Choose the correct order of the events?,1,0,0
14,5,1222558,Choose the correct order of the events?,1,0,0
15,5,1222583,Choose the correct order of the events?,3,2,0
16,5,1222669,Choose the correct order of the events?,3,3,1
17,5,1222815,Choose the correct order of the events?,2,1,0
18,5,1222986,Choose the correct order of the events?,2,0,0
19,5,1223080,Choose the correct order of the events?,2,0,0
20,5,122316,Choose the correct order of the events?,3,3,1
21,5,1223180,Choose the correct order of the events?,3,2,0
22,5,1223234,Choose the correct order of the events?,2,0,0
23,5,12232,Choose the correct order of the events?,1,1,1
24,5,1223356,Choose the correct order of the events?,3,1,0
25,5,122336,Choose the correct order of the events?,3,0,0
26,5,1223497,Choose the correct order of the events?,0,2,0
27,5,122356,Choose the correct order of the events?,0,1,0
28,5,1223637,Choose the correct order of the events?,1,2,0
29,5,122372,Choose the correct order of the events?,0,1,0
30,5,1223731,Choose the correct order of the events?,3,3,1
31,5,1223739,Choose the correct order of the events?,0,0,1
32,5,1223838,Choose the correct order of the events?,1,1,1
33,5,1223882,Choose the correct order of the events?,1,1,1
34,5,1223914,Choose the correct order of the events?,3,3,1
35,5,1223993,Choose the correct order of the events?,0,2,0
36,5,1224263,Choose the correct order of the events?,0,0,1
37,5,1224321,Choose the correct order of the events?,1,0,0
38,5,1224343,Choose the correct order of the events?,2,1,0
39,5,122434,Choose the correct order of the events?,3,0,0
40,5,1224402,Choose the correct order of the events?,3,0,0
41,5,1224461,Choose the correct order of the events?,1,3,0
42,5,1224515,Choose the correct order of the events?,0,0,1
43,5,1224625,Choose the correct order of the events?,1,1,1
44,5,1224646,Choose the correct order of the events?,3,3,1
45,5,1224686,Choose the correct order of the events?,1,1,1
46,5,1224747,Choose the correct order of the events?,2,1,0
47,5,1224781,Choose the correct order of the events?,3,0,0
48,5,1224808,Choose the correct order of the events?,2,1,0
49,5,1224892,Choose the correct order of the events?,3,3,1
50,5,1225017,Choose the correct order of the events?,3,1,0
51,5,1225025,Choose the correct order of the events?,2,2,1
52,5,1225029,Choose the correct order of the events?,3,1,0
53,5,1225146,Choose the correct order of the events?,1,3,0
54,5,12251,Choose the correct order of the events?,1,0,0
55,5,1225278,Choose the correct order of the events?,1,3,0
56,5,122529,Choose the correct order of the events?,0,1,0
57,5,1225440,Choose the correct order of the events?,3,0,0
58,5,122558,Choose the correct order of the events?,1,3,0
59,5,12255,Choose the correct order of the events?,3,0,0
60,5,122579,Choose the correct order of the events?,2,0,0
61,5,1225892,Choose the correct order of the events?,2,1,0
62,5,1225933,Choose the correct order of the events?,2,3,0
63,5,1226028,Choose the correct order of the events?,0,1,0
64,5,1226110,Choose the correct order of the events?,1,3,0
65,5,1226181,Choose the correct order of the events?,3,3,1
66,5,1226198,Choose the correct order of the events?,0,2,0
67,5,1226261,Choose the correct order of the events?,1,2,0
68,5,1226280,Choose the correct order of the events?,3,1,0
69,5,1226321,Choose the correct order of the events?,3,0,0
70,5,1226406,Choose the correct order of the events?,1,3,0
71,5,1226444,Choose the correct order of the events?,0,1,0
72,5,1226506,Choose the correct order of the events?,2,3,0
73,5,1226571,Choose the correct order of the events?,1,3,0
74,5,1226591,Choose the correct order of the events?,2,2,1
75,5,1226789,Choose the correct order of the events?,2,2,1
76,5,1226803,Choose the correct order of the events?,2,1,0
77,5,1226903,Choose the correct order of the events?,2,0,0
78,5,1227011,Choose the correct order of the events?,0,1,0
79,5,1227115,Choose the correct order of the events?,0,2,0
80,5,1227152,Choose the correct order of the events?,3,3,1
81,5,1227206,Choose the correct order of the events?,2,1,0
82,5,1227209,Choose the correct order of the events?,1,3,0
83,5,1227218,Choose the correct order of the events?,1,3,0
84,5,1227314,Choose the correct order of the events?,2,0,0
85,5,1227368,Choose the correct order of the events?,1,1,1
86,5,1227378,Choose the correct order of the events?,0,0,1
87,5,1227396,Choose the correct order of the events?,1,3,0
88,5,1227459,Choose the correct order of the events?,2,1,0
89,5,12274,Choose the correct order of the events?,2,0,0
90,5,1227517,Choose the correct order of the events?,1,0,0
91,5,1227615,Choose the correct order of the events?,3,1,0
92,5,1227748,Choose the correct order of the events?,0,1,0
93,5,1227761,Choose the correct order of the events?,1,0,0
94,5,1227820,Choose the correct order of the events?,2,3,0
95,5,1227846,Choose the correct order of the events?,2,0,0
96,5,1227895,Choose the correct order of the events?,1,3,0
97,5,1228086,Choose the correct order of the events?,0,1,0
98,5,1228136,Choose the correct order of the events?,2,2,1
99,5,1228138,Choose the correct order of the events?,2,0,0
100,5,122826,Choose the correct order of the events?,2,3,0
101,5,1228359,Choose the correct order of the events?,0,1,0
102,5,1228455,Choose the correct order of the events?,3,2,0
103,5,1228514,Choose the correct order of the events?,1,0,0
104,5,12286,Choose the correct order of the events?,1,2,0
105,5,1228832,Choose the correct order of the events?,1,0,0
106,5,122886,Choose the correct order of the events?,0,0,1
107,5,1228907,Choose the correct order of the events?,3,0,0
108,5,1229013,Choose the correct order of the events?,3,2,0
109,5,1229018,Choose the correct order of the events?,3,0,0
110,5,1229221,Choose the correct order of the events?,3,0,0
111,5,1229255,Choose the correct order of the events?,2,3,0
112,5,1229294,Choose the correct order of the events?,3,3,1
113,5,1229312,Choose the correct order of the events?,2,0,0
114,5,1229374,Choose the correct order of the events?,3,2,0
115,5,122941,Choose the correct order of the events?,1,1,1
116,5,1229563,Choose the correct order of the events?,2,1,0
117,5,1229605,Choose the correct order of the events?,2,2,1
118,5,1229621,Choose the correct order of the events?,3,0,0
119,5,1229691,Choose the correct order of the events?,1,3,0
120,5,1229864,Choose the correct order of the events?,2,2,1
121,5,122993,Choose the correct order of the events?,3,3,1
122,5,1230060,Choose the correct order of the events?,3,3,1
123,5,1230088,Choose the correct order of the events?,0,0,1
124,5,1230181,Choose the correct order of the events?,3,1,0
125,5,1230314,Choose the correct order of the events?,3,2,0
126,5,1230408,Choose the correct order of the events?,3,3,1
127,5,1230420,Choose the correct order of the events?,2,1,0
128,5,1230504,Choose the correct order of the events?,3,0,0
129,5,1230565,Choose the correct order of the events?,3,1,0
130,5,1230766,Choose the correct order of the events?,3,0,0
131,5,12307,Choose the correct order of the events?,0,0,1
132,5,1230801,Choose the correct order of the events?,1,1,1
133,5,1230837,Choose the correct order of the events?,2,2,1
134,5,1230867,Choose the correct order of the events?,2,0,0
135,5,1230868,Choose the correct order of the events?,2,1,0
136,5,1230905,Choose the correct order of the events?,2,3,0
137,5,1230940,Choose the correct order of the events?,0,2,0
138,5,1231051,Choose the correct order of the events?,0,2,0
139,5,1231053,Choose the correct order of the events?,0,1,0
140,5,1231068,Choose the correct order of the events?,3,2,0
141,5,12311,Choose the correct order of the events?,3,0,0
142,5,1231202,Choose the correct order of the events?,3,1,0
143,5,1231207,Choose the correct order of the events?,0,2,0
144,5,1231219,Choose the correct order of the events?,2,3,0
145,5,1231310,Choose the correct order of the events?,3,2,0
146,5,1231341,Choose the correct order of the events?,1,2,0
147,5,1231373,Choose the correct order of the events?,3,1,0
148,5,1231394,Choose the correct order of the events?,1,0,0
149,5,1231696,Choose the correct order of the events?,0,2,0
150,5,1231723,Choose the correct order of the events?,2,2,1
151,5,123183,Choose the correct order of the events?,2,0,0
