index,filenumber,qid,question,origanswer,generatedanswer,correctness
46000,24,8554580,"Question: 
Answer Choices are: 
a. [2, 1, 0, 3]
b. [3, 2, 1, 0]
c. [3, 0, 2, 1]
d. [0, 2, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"c. [3, 0, 2, 1]",0
46001,24,855463,"Question: 
Answer Choices are: 
a. [0, 1, 2]
b. [1, 0, 2]
c. [2, 1, 0]
d. [1, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"The correct order of events is a. [0, 1, 2]",0
46002,24,8554947,"Question: 
Answer Choices are: 
a. [2, 1, 0]
b. [2, 0, 1]
c. [2, 0, 1]
d. [0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"The answer is d. [0, 1, 2]",0
46003,24,8555077,"Question: 
Answer Choices are: 
a. [2, 3, 1, 0, 4]
b. [1, 2, 0, 4, 3]
c. [2, 1, 0, 3, 4]
d. [3, 2, 4, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [3, 2, 4, 1, 0]",0
46004,24,8555113,"Question: 
Answer Choices are: 
a. [1, 3, 2, 4, 0]
b. [2, 0, 4, 3, 1]
c. [3, 0, 1, 4, 2]
d. [2, 1, 4, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"c. [3, 0, 1, 4, 2]",1
46005,24,8555317,"Question: 
Answer Choices are: 
a. [4, 0, 1, 3, 2]
b. [3, 1, 4, 0, 2]
c. [0, 4, 3, 2, 1]
d. [1, 2, 0, 4, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is b.,0
46006,24,855542,"Question: 
Answer Choices are: 
a. [4, 3, 1, 2, 0]
b. [2, 0, 3, 4, 1]
c. [4, 3, 1, 0, 2]
d. [3, 0, 2, 4, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [3, 0, 2, 4, 1]",0
46007,24,8555879,"Question: 
Answer Choices are: 
a. [0, 2, 1, 4, 3]
b. [4, 0, 2, 1, 3]
c. [4, 3, 1, 0, 2]
d. [2, 0, 1, 4, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The answer is d.,0
46008,24,8555894,"Question: 
Answer Choices are: 
a. [3, 5, 2, 1, 0, 8, 4, 6, 7]
b. [5, 1, 4, 6, 3, 7, 0, 8, 2]
c. [5, 8, 4, 7, 3, 2, 0, 1, 6]
d. [0, 6, 5, 8, 4, 7, 1, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"The answer is b. [5, 1, 4, 6, 3, 7, 0, 8, 2]",0
46009,24,8555971,"Question: 
Answer Choices are: 
a. [0, 1, 2]
b. [1, 2, 0]
c. [1, 2, 0]
d. [0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The correct order of events is b.,0
46010,24,8555976,"Question: 
Answer Choices are: 
a. [3, 4, 0, 2, 1]
b. [2, 3, 1, 4, 0]
c. [1, 2, 4, 3, 0]
d. [4, 2, 0, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"The correct order of events is b. [2, 3, 1, 4, 0]",1
46011,24,855611,"Question: 
Answer Choices are: 
a. [0, 1, 3, 2]
b. [3, 1, 2, 0]
c. [1, 0, 2, 3]
d. [1, 3, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is c.,1
46012,24,8556265,"Question: 
Answer Choices are: 
a. [3, 2, 0, 4, 1]
b. [1, 3, 4, 2, 0]
c. [4, 2, 1, 3, 0]
d. [1, 3, 4, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [1, 3, 4, 0, 2]",0
46013,24,8556286,"Question: 
Answer Choices are: 
a. [2, 1, 3, 0]
b. [1, 3, 0, 2]
c. [2, 1, 3, 0]
d. [2, 3, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is c.,1
