index,filenumber,qid,question,origanswer,generatedanswer,correctness
28000,15,399418,"Question: 
Answer Choices are: 
a. [1, 4, 0, 2, 3]
b. [2, 1, 4, 3, 0]
c. [2, 3, 4, 1, 0]
d. [2, 3, 0, 4, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is d.,0
28001,15,399422,"Question: 
Answer Choices are: 
a. [3, 2, 0, 1]
b. [3, 2, 1, 0]
c. [0, 3, 2, 1]
d. [3, 2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [3, 2, 1, 0]",0
28002,15,399472,"Question: 
Answer Choices are: 
a. [1, 2, 4, 5, 3, 0, 6]
b. [0, 3, 6, 1, 2, 5, 4]
c. [4, 5, 3, 6, 1, 2, 0]
d. [3, 5, 0, 1, 4, 2, 6]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is a. [1, 2, 4, 5, 3, 0, 6].",0
28003,15,399476,"Question: 
Answer Choices are: 
a. [3, 4, 0, 2, 1]
b. [3, 0, 4, 2, 1]
c. [2, 4, 3, 1, 0]
d. [3, 2, 1, 0, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [3, 2, 1, 0, 4]",0
28004,15,399548,"Question: 
Answer Choices are: 
a. [3, 6, 4, 2, 1, 0, 5]
b. [0, 5, 4, 3, 2, 6, 1]
c. [6, 3, 0, 4, 5, 2, 1]
d. [5, 4, 2, 0, 1, 3, 6]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The correct order of events is:,1
28005,15,3995500,"Question: 
Answer Choices are: 
a. [2, 0, 1, 4, 3]
b. [1, 4, 3, 2, 0]
c. [1, 4, 2, 0, 3]
d. [2, 1, 3, 4, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [2, 1, 3, 4, 0]",0
28006,15,39962,"Question: 
Answer Choices are: 
a. [6, 4, 3, 2, 1, 5, 0]
b. [2, 6, 4, 5, 1, 0, 3]
c. [1, 4, 2, 5, 6, 3, 0]
d. [1, 0, 2, 5, 3, 6, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [1, 0, 2, 5, 3, 6, 4]",0
28007,15,3996503,"Question: 
Answer Choices are: 
a. [0, 2, 4, 1, 3, 6, 7, 5]
b. [4, 5, 6, 7, 0, 2, 3, 1]
c. [2, 0, 7, 3, 1, 4, 5, 6]
d. [0, 3, 5, 1, 2, 7, 4, 6]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 3, 5, 1, 2, 7, 4, 6]",0
28008,15,399652,"Question: 
Answer Choices are: 
a. [7, 0, 6, 1, 3, 5, 2, 4]
b. [4, 3, 6, 7, 5, 1, 2, 0]
c. [3, 6, 0, 4, 1, 2, 7, 5]
d. [2, 6, 3, 7, 1, 5, 4, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is a. [7, 0, 6, 1, 3, 5, 2, 4]",0
28009,15,3996642,"Question: 
Answer Choices are: 
a. [3, 4, 1, 2, 0]
b. [4, 3, 1, 0, 2]
c. [3, 0, 4, 1, 2]
d. [0, 3, 4, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 3, 4, 1, 2]",0
