index,filenumber,qid,question,origanswer,generatedanswer,correctness
10000,6,1340301,"Question: 
Answer Choices are: 
a. [3, 5, 0, 4, 2, 1]
b. [3, 5, 1, 4, 2, 0]
c. [1, 0, 5, 4, 2, 3]
d. [1, 2, 0, 5, 3, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [1, 2, 0, 5, 3, 4]",0
10001,6,1340367,"Question: 
Answer Choices are: 
a. [4, 0, 3, 1, 2]
b. [4, 1, 3, 2, 0]
c. [2, 0, 4, 3, 1]
d. [1, 3, 4, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [1, 3, 4, 2, 0]",0
10002,6,1340414,"Question: 
Answer Choices are: 
a. [5, 8, 6, 3, 2, 1, 4, 0, 7]
b. [0, 6, 5, 7, 4, 2, 3, 1, 8]
c. [5, 2, 8, 4, 3, 1, 7, 0, 6]
d. [5, 1, 6, 8, 7, 4, 2, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The answer is b.,1
10003,6,1340426,"Question: 
Answer Choices are: 
a. [7, 1, 4, 6, 5, 2, 0, 3]
b. [4, 6, 2, 7, 5, 3, 0, 1]
c. [3, 4, 5, 1, 2, 6, 7, 0]
d. [5, 2, 4, 0, 3, 7, 6, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [5, 2, 4, 0, 3, 7, 6, 1]",0
10004,6,1340428,"Question: 
Answer Choices are: 
a. [3, 1, 0, 2]
b. [1, 3, 2, 0]
c. [0, 3, 2, 1]
d. [1, 2, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [1, 2, 3, 0]",1
10005,6,1340504,"Question: 
Answer Choices are: 
a. [4, 1, 0, 3, 2]
b. [0, 2, 4, 1, 3]
c. [0, 1, 2, 4, 3]
d. [0, 4, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The correct order of events in the passage is c.,0
10006,6,1340508,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [1, 2, 0]
c. [0, 1, 2]
d. [0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"c. [0, 1, 2]",0
10007,6,134051,"Question: 
Answer Choices are: 
a. [4, 2, 3, 1, 0, 5]
b. [3, 0, 4, 1, 5, 2]
c. [1, 5, 4, 0, 3, 2]
d. [5, 4, 3, 2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [5, 4, 3, 2, 0, 1]",0
10008,6,1340550,"Question: 
Answer Choices are: 
a. [4, 2, 0, 1, 5, 3]
b. [1, 3, 4, 5, 2, 0]
c. [0, 1, 3, 5, 4, 2]
d. [3, 4, 1, 2, 5, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The correct order of events is c.,0
10009,6,1340552,"Question: 
Answer Choices are: 
a. [5, 0, 4, 1, 3, 6, 2]
b. [5, 2, 3, 4, 0, 6, 1]
c. [4, 3, 2, 1, 0, 6, 5]
d. [6, 3, 5, 0, 4, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [6, 3, 5, 0, 4, 1, 2]",1
10010,6,1340610,"Question: 
Answer Choices are: 
a. [1, 8, 2, 3, 3, 14, 3, 3, 13, 4, 5, 3, 3, 6, 0]
b. [3, 6, 13, 2, 14, 5, 3, 3, 0, 3, 4, 8, 3, 1, 3]
c. [2, 4, 8, 14, 3, 6, 3, 0, 3, 1, 3, 13, 3, 5, 3]
d. [14, 3, 8, 5, 3, 3, 1, 4, 2, 13, 3, 6, 3, 0, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [14, 3, 8, 5, 3, 3, 1, 4, 2, 13, 3, 6, 3, 0, 3]",0
10011,6,1340653,"Question: 
Answer Choices are: 
a. [5, 7, 6, 3, 4, 2, 0, 1]
b. [7, 1, 3, 6, 0, 5, 4, 2]
c. [4, 0, 2, 3, 7, 5, 6, 1]
d. [3, 4, 0, 6, 1, 2, 7, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"The correct order of events is a. [5, 7, 6, 3, 4, 2, 0, 1].",0
10012,6,1340681,"Question: 
Answer Choices are: 
a. [2, 0, 4, 1, 3]
b. [0, 4, 3, 2, 1]
c. [0, 2, 3, 1, 4]
d. [4, 2, 3, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [4, 2, 3, 1, 0]",1
10013,6,1340707,"Question: 
Answer Choices are: 
a. [8, 0, 7, 3, 2, 1, 5, 6, 4]
b. [8, 1, 0, 5, 6, 7, 2, 4, 3]
c. [8, 1, 5, 7, 6, 3, 0, 2, 4]
d. [0, 2, 6, 1, 5, 3, 7, 4, 8]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 2, 6, 1, 5, 3, 7, 4, 8]",0
10014,6,1340738,"Question: 
Answer Choices are: 
a. [2, 1, 0]
b. [1, 0, 2]
c. [0, 1, 2]
d. [2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 1, 0]",0
10015,6,1340750,"Question: 
Answer Choices are: 
a. [1, 4, 2, 3, 0]
b. [2, 4, 0, 3, 1]
c. [4, 2, 3, 0, 1]
d. [3, 2, 1, 0, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [3, 2, 1, 0, 4]",0
10016,6,1340789,"Question: 
Answer Choices are: 
a. [4, 3, 1, 2, 0]
b. [0, 2, 1, 3, 4]
c. [4, 3, 2, 1, 0]
d. [1, 3, 2, 4, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [1, 3, 2, 4, 0]",1
10017,6,1340981,"Question: 
Answer Choices are: 
a. [4, 0, 2, 1, 3]
b. [3, 0, 4, 1, 2]
c. [4, 1, 0, 2, 3]
d. [1, 0, 3, 4, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [4, 1, 0, 2, 3]",0
10018,6,1340982,"Question: 
Answer Choices are: 
a. [1, 4, 0, 3, 2, 6, 5]
b. [2, 4, 1, 3, 5, 6, 0]
c. [4, 6, 0, 5, 3, 2, 1]
d. [1, 3, 5, 0, 2, 6, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,d,0
10019,6,1341005,"Question: 
Answer Choices are: 
a. [2, 3, 4, 1, 0]
b. [4, 0, 2, 3, 1]
c. [0, 1, 4, 3, 2]
d. [0, 3, 2, 4, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The correct order of events is d.,0
10020,6,1341008,"Question: 
Answer Choices are: 
a. [6, 4, 0, 5, 8, 9, 7, 2, 1, 3]
b. [5, 9, 8, 7, 4, 2, 3, 6, 1, 0]
c. [7, 3, 0, 8, 5, 9, 2, 4, 1, 6]
d. [3, 1, 9, 7, 0, 8, 4, 6, 5, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is d. 3, 1, 9, 7, 0, 8, 4, 6, 5, 2.",0
10021,6,1341050,"Question: 
Answer Choices are: 
a. [4, 0, 3, 2, 5, 1]
b. [5, 3, 4, 0, 2, 1]
c. [3, 5, 2, 1, 0, 4]
d. [4, 3, 0, 2, 1, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is c.,1
10022,6,1341109,"Question: 
Answer Choices are: 
a. [1, 2, 0, 3, 4]
b. [1, 2, 0, 4, 3]
c. [4, 3, 0, 2, 1]
d. [1, 3, 4, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [1, 3, 4, 0, 2]",0
10023,6,1341193,"Question: 
Answer Choices are: 
a. [4, 2, 5, 7, 0, 3, 1, 6]
b. [5, 0, 2, 7, 4, 1, 3, 6]
c. [0, 7, 3, 6, 4, 5, 1, 2]
d. [7, 6, 3, 0, 5, 1, 4, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,d,0
10024,6,1341211,"Question: 
Answer Choices are: 
a. [1, 4, 3, 0, 2]
b. [1, 2, 0, 4, 3]
c. [1, 2, 4, 0, 3]
d. [0, 3, 4, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [1, 2, 4, 0, 3]",0
10025,6,1341256,"Question: 
Answer Choices are: 
a. [2, 3, 0, 1, 4]
b. [4, 1, 2, 0, 3]
c. [1, 4, 3, 2, 0]
d. [1, 4, 0, 3, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"The correct order of events is a. [2, 3, 0, 1, 4].",1
10026,6,1341258,"Question: 
Answer Choices are: 
a. [2, 4, 0, 3, 1]
b. [1, 4, 2, 0, 3]
c. [4, 3, 1, 2, 0]
d. [3, 1, 0, 2, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is b.,0
10027,6,1341296,"Question: 
Answer Choices are: 
a. [1, 0, 2]
b. [2, 1, 0]
c. [2, 1, 0]
d. [1, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"c. [2, 1, 0]",0
10028,6,1341558,"Question: 
Answer Choices are: 
a. [1, 2, 0]
b. [0, 1, 2]
c. [0, 2, 1]
d. [1, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,d,1
10029,6,1341651,"Question: 
Answer Choices are: 
a. [4, 2, 0, 5, 1, 3]
b. [2, 3, 0, 4, 1, 5]
c. [3, 4, 5, 1, 2, 0]
d. [5, 3, 2, 1, 4, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [5, 3, 2, 1, 4, 0]",0
10030,6,1341690,"Question: 
Answer Choices are: 
a. [6, 5, 1, 7, 0, 8, 4, 2, 3]
b. [5, 4, 0, 8, 3, 1, 6, 2, 7]
c. [6, 8, 1, 2, 5, 3, 7, 4, 0]
d. [4, 6, 3, 2, 8, 5, 1, 0, 7]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [4, 6, 3, 2, 8, 5, 1, 0, 7]",1
10031,6,1341700,"Question: 
Answer Choices are: 
a. [1, 2, 3, 0]
b. [1, 0, 3, 2]
c. [2, 3, 0, 1]
d. [2, 1, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 1, 3, 0]",0
10032,6,1341717,"Question: 
Answer Choices are: 
a. [1, 2, 0]
b. [0, 2, 1]
c. [0, 1, 2]
d. [1, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"c. [0, 1, 2]",1
10033,6,1341723,"Question: 
Answer Choices are: 
a. [0, 2, 1, 3]
b. [1, 2, 3, 0]
c. [3, 1, 2, 0]
d. [0, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is d.,0
10034,6,1341729,"Question: 
Answer Choices are: 
a. [2, 5, 0, 3, 1, 4]
b. [4, 1, 3, 5, 0, 2]
c. [3, 5, 0, 4, 1, 2]
d. [2, 0, 3, 5, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is d.,0
10035,6,1341730,"Question: 
Answer Choices are: 
a. [3, 2, 1, 0]
b. [3, 1, 0, 2]
c. [3, 0, 1, 2]
d. [0, 2, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The answer is c.,0
10036,6,1341767,"Question: 
Answer Choices are: 
a. [0, 1, 3, 2]
b. [1, 0, 3, 2]
c. [1, 2, 0, 3]
d. [1, 2, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [1, 2, 3, 0]",0
10037,6,1341769,"Question: 
Answer Choices are: 
a. [4, 3, 5, 0, 1, 2, 6]
b. [6, 5, 4, 1, 0, 2, 3]
c. [3, 2, 5, 0, 6, 4, 1]
d. [1, 0, 2, 5, 6, 4, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"The correct answer is a. [4, 3, 5, 0, 1, 2, 6]",0
10038,6,1341789,"Question: 
Answer Choices are: 
a. [1, 4, 6, 2, 0, 3, 5]
b. [2, 5, 1, 0, 3, 6, 4]
c. [6, 5, 1, 3, 0, 4, 2]
d. [6, 1, 0, 2, 3, 5, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"c. [6, 5, 1, 3, 0, 4, 2]",0
10039,6,1341907,"Question: 
Answer Choices are: 
a. [5, 0, 1, 2, 4, 3]
b. [5, 1, 2, 4, 0, 3]
c. [4, 1, 3, 2, 0, 5]
d. [0, 4, 1, 2, 3, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,c,1
10040,6,1341914,"Question: 
Answer Choices are: 
a. [1, 0, 2, 3]
b. [1, 0, 2, 3]
c. [1, 3, 2, 0]
d. [3, 2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [3, 2, 0, 1]",0
10041,6,1341915,"Question: 
Answer Choices are: 
a. [1, 4, 3, 0, 2]
b. [1, 0, 3, 2, 4]
c. [4, 0, 1, 3, 2]
d. [4, 0, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is b.,0
10042,6,1341961,"Question: 
Answer Choices are: 
a. [4, 2, 6, 5, 3, 7, 1, 0]
b. [6, 0, 7, 1, 5, 2, 4, 3]
c. [0, 6, 2, 1, 5, 7, 4, 3]
d. [5, 0, 3, 6, 4, 7, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [5, 0, 3, 6, 4, 7, 2, 1]",1
