index,filenumber,qid,question,origanswer,generatedanswer,correctness
42000,22,7724744,"Question: 
Answer Choices are: 
a. [0, 4, 1, 5, 2, 3, 6]
b. [6, 3, 4, 0, 5, 1, 2]
c. [2, 0, 4, 3, 5, 1, 6]
d. [1, 3, 4, 0, 6, 5, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [1, 3, 4, 0, 6, 5, 2]",0
42001,22,7724799,"Question: 
Answer Choices are: 
a. [0, 2, 1]
b. [0, 2, 1]
c. [0, 1, 2]
d. [0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"The correct order of events is c. [0, 1, 2]",0
42002,22,772480,"Question: 
Answer Choices are: 
a. [0, 3, 4, 5, 6, 2, 1]
b. [3, 5, 1, 6, 0, 4, 2]
c. [1, 6, 3, 5, 4, 0, 2]
d. [4, 1, 3, 5, 6, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,I.The photographer wanted to take a few photographs of the flowers.,0
42003,22,7725005,"Question: 
Answer Choices are: 
a. [1, 0]
b. [0, 1]
c. [1, 0]
d. [1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [1, 0]",1
42004,22,7725137,"Question: 
Answer Choices are: 
a. [0, 1, 3, 2]
b. [3, 0, 2, 1]
c. [2, 1, 0, 3]
d. [0, 2, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 2, 1, 3]",0
42005,22,7725145,"Question: 
Answer Choices are: 
a. [5, 3, 0, 4, 2, 6, 1]
b. [5, 2, 0, 4, 3, 6, 1]
c. [0, 1, 2, 3, 4, 5, 6]
d. [4, 3, 0, 2, 1, 5, 6]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The correct order of events is c.,0
42006,22,7725148,"Question: 
Answer Choices are: 
a. [0, 1, 4, 3, 2]
b. [2, 1, 3, 4, 0]
c. [0, 2, 4, 3, 1]
d. [0, 2, 3, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is d.,1
42007,22,7725473,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [1, 2, 0]
c. [1, 0, 2]
d. [1, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,There is no correct answer to this question.,0
42008,22,772590,"Question: 
Answer Choices are: 
a. [3, 0, 2, 1]
b. [3, 2, 0, 1]
c. [1, 2, 0, 3]
d. [2, 0, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,It was a little after lunchtime when the front doorbell rang.,1
42009,22,7725918,"Question: 
Answer Choices are: 
a. [3, 2, 0, 4, 1]
b. [1, 2, 3, 0, 4]
c. [2, 4, 3, 1, 0]
d. [4, 2, 0, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [4, 2, 0, 1, 3]",1
42010,22,772602,"Question: 
Answer Choices are: 
a. [3, 1, 0, 4, 7, 6, 2, 5]
b. [2, 1, 7, 3, 4, 0, 5, 6]
c. [7, 3, 5, 6, 0, 1, 4, 2]
d. [4, 1, 6, 3, 0, 7, 2, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"b. [2, 1, 7, 3, 4, 0, 5, 6]",1
42011,22,7726235,"Question: 
Answer Choices are: 
a. [0, 2, 3, 1]
b. [0, 3, 2, 1]
c. [2, 0, 3, 1]
d. [3, 2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,c,0
42012,22,77274,"Question: 
Answer Choices are: 
a. [2, 3, 0, 1]
b. [2, 1, 0, 3]
c. [2, 0, 3, 1]
d. [0, 1, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 1, 2, 3]",0
42013,22,7727572,"Question: 
Answer Choices are: 
a. [0, 1, 3, 2]
b. [1, 3, 2, 0]
c. [1, 2, 3, 0]
d. [0, 2, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The correct order of events is d.,1
42014,22,7727693,"Question: 
Answer Choices are: 
a. [3, 1, 2, 0, 4, 5]
b. [5, 0, 2, 4, 3, 1]
c. [5, 0, 2, 4, 3, 1]
d. [4, 0, 1, 2, 5, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [4, 0, 1, 2, 5, 3]",0
42015,22,7727832,"Question: 
Answer Choices are: 
a. [0, 2, 1]
b. [2, 0, 1]
c. [2, 0, 1]
d. [0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"c. [2, 0, 1]",0
42016,22,7728097,"Question: 
Answer Choices are: 
a. [2, 0, 3, 1]
b. [3, 2, 0, 1]
c. [1, 2, 3, 0]
d. [3, 0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [3, 0, 1, 2]",0
42017,22,7728202,"Question: 
Answer Choices are: 
a. [3, 2, 0, 1]
b. [2, 0, 1, 3]
c. [0, 3, 1, 2]
d. [0, 1, 3, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 1, 3, 2]",0
42018,22,7728339,"Question: 
Answer Choices are: 
a. [3, 1, 0, 2]
b. [0, 1, 3, 2]
c. [2, 1, 0, 3]
d. [2, 1, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The correct order of events is b.,0
42019,22,772833,"Question: 
Answer Choices are: 
a. [4, 0, 1, 2, 3]
b. [4, 3, 1, 2, 0]
c. [2, 1, 0, 4, 3]
d. [3, 1, 0, 4, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is c.,0
42020,22,7728610,"Question: 
Answer Choices are: 
a. [2, 1, 3, 0]
b. [2, 1, 3, 0]
c. [2, 1, 0, 3]
d. [3, 0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [3, 0, 1, 2]",0
42021,22,7728766,"Question: 
Answer Choices are: 
a. [0, 2, 1]
b. [0, 1, 2]
c. [2, 0, 1]
d. [2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [2, 0, 1]",0
42022,22,7728995,"Question: 
Answer Choices are: 
a. [1, 3, 2, 0]
b. [0, 3, 2, 1]
c. [0, 2, 1, 3]
d. [3, 1, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [0, 2, 1, 3]",0
42023,22,77293,"Question: 
Answer Choices are: 
a. [2, 5, 9, 4, 10, 8, 0, 7, 1, 3, 6]
b. [3, 10, 8, 7, 0, 1, 5, 9, 2, 6, 4]
c. [2, 9, 5, 8, 7, 0, 10, 1, 3, 4, 6]
d. [3, 6, 7, 10, 2, 8, 5, 0, 9, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [3, 6, 7, 10, 2, 8, 5, 0, 9, 1, 4]",0
42024,22,7729400,"Question: 
Answer Choices are: 
a. [1, 0, 2, 3]
b. [0, 3, 1, 2]
c. [3, 2, 1, 0]
d. [3, 0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is a.,0
42025,22,7729423,"Question: 
Answer Choices are: 
a. [0, 1, 2]
b. [2, 1, 0]
c. [2, 0, 1]
d. [2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [2, 0, 1]",1
