index,filenumber,qid,question,origanswer,generatedanswer,correctness
12000,7,1406060,"Question: 
Answer Choices are: 
a. [3, 6, 4, 2, 1, 5, 0]
b. [3, 5, 2, 6, 0, 1, 4]
c. [1, 5, 4, 0, 3, 6, 2]
d. [6, 4, 5, 3, 2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [6, 4, 5, 3, 2, 1, 0]",1
12001,7,1406061,"Question: 
Answer Choices are: 
a. [3, 1, 0, 2, 6, 4, 5]
b. [2, 4, 1, 5, 0, 3, 6]
c. [0, 1, 3, 6, 5, 2, 4]
d. [5, 2, 3, 0, 6, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is c.,0
12002,7,1406062,"Question: 
Answer Choices are: 
a. [1, 2, 0]
b. [2, 0, 1]
c. [1, 0, 2]
d. [0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is b.,0
12003,7,1406144,"Question: 
Answer Choices are: 
a. [3, 0, 1, 2, 4]
b. [3, 0, 1, 4, 2]
c. [4, 3, 1, 0, 2]
d. [1, 3, 0, 2, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"The correct order of events is: a. [3, 0, 1, 2, 4]",0
12004,7,1406145,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [2, 1, 0]
c. [1, 2, 0]
d. [0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [1, 2, 0]",0
12005,7,1406146,"Question: 
Answer Choices are: 
a. [2, 1, 0]
b. [0, 2, 1]
c. [0, 2, 1]
d. [0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 1, 2]",0
12006,7,1406147,"Question: 
Answer Choices are: 
a. [0, 1, 3, 2]
b. [0, 2, 1, 3]
c. [3, 2, 0, 1]
d. [0, 3, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. The correct order of events is [0, 3, 1, 2].",1
12007,7,1406148,"Question: 
Answer Choices are: 
a. [4, 2, 1, 0, 6, 3, 5]
b. [4, 3, 0, 6, 5, 2, 1]
c. [0, 5, 4, 2, 1, 3, 6]
d. [2, 0, 5, 4, 3, 6, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"The order of events should be d. 2, 0, 5, 4, 3, 6, 1.",0
12008,7,140621,"Question: 
Answer Choices are: 
a. [1, 0, 2, 3]
b. [2, 1, 3, 0]
c. [1, 3, 2, 0]
d. [2, 0, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [1, 3, 2, 0]",0
12009,7,1406249,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [0, 1, 2]
c. [0, 1, 2]
d. [2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,d,1
12010,7,1406250,"Question: 
Answer Choices are: 
a. [2, 3, 1, 0]
b. [2, 0, 1, 3]
c. [0, 2, 3, 1]
d. [0, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [0, 2, 3, 1]",0
12011,7,140633,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [1, 0, 2]
c. [2, 0, 1]
d. [2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [2, 1, 0]",1
12012,7,1406349,"Question: 
Answer Choices are: 
a. [2, 3, 4, 1, 0]
b. [0, 2, 1, 4, 3]
c. [1, 4, 3, 0, 2]
d. [4, 3, 1, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The correct order of events in the passage is:,0
12013,7,1406351,"Question: 
Answer Choices are: 
a. [1, 0, 2, 3]
b. [1, 0, 3, 2]
c. [1, 2, 3, 0]
d. [1, 2, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [1, 2, 3, 0]",0
