index,filenumber,qid,question,origanswer,generatedanswer,correctness
52000,27,9707632,"Question: 
Answer Choices are: 
a. [5, 3, 4, 1, 0, 2]
b. [5, 3, 2, 4, 1, 0]
c. [0, 5, 1, 3, 4, 2]
d. [1, 3, 5, 2, 0, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"The correct order of events is c. [0, 5, 1, 3, 4, 2]",0
52001,27,9707698,"Question: 
Answer Choices are: 
a. [0, 1, 2]
b. [2, 0, 1]
c. [2, 1, 0]
d. [1, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,d,1
52002,27,9707838,"Question: 
Answer Choices are: 
a. [5, 3, 4, 2, 0, 1]
b. [3, 1, 2, 0, 4, 5]
c. [0, 2, 1, 4, 5, 3]
d. [3, 2, 5, 0, 4, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [3, 2, 5, 0, 4, 1]",1
52003,27,9707844,"Question: 
Answer Choices are: 
a. [2, 3, 1, 4, 0]
b. [1, 0, 3, 2, 4]
c. [0, 3, 1, 4, 2]
d. [0, 4, 2, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is c.,0
52004,27,9707855,"Question: 
Answer Choices are: 
a. [3, 2, 1, 0]
b. [3, 1, 0, 2]
c. [1, 0, 3, 2]
d. [2, 0, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 0, 1, 3]",0
52005,27,9707911,"Question: 
Answer Choices are: 
a. [1, 3, 2, 4, 5, 0]
b. [2, 5, 3, 1, 4, 0]
c. [2, 4, 5, 3, 0, 1]
d. [3, 2, 4, 0, 5, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [3, 2, 4, 0, 5, 1]",0
52006,27,9708055,"Question: 
Answer Choices are: 
a. [2, 0, 5, 1, 3, 4]
b. [4, 1, 0, 5, 3, 2]
c. [4, 3, 0, 1, 5, 2]
d. [4, 1, 0, 3, 5, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"Answer: a. [2, 0, 5, 1, 3, 4]",1
52007,27,9708137,"Question: 
Answer Choices are: 
a. [1, 0, 2]
b. [0, 2, 1]
c. [1, 0, 2]
d. [0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 2, 1]",0
52008,27,9708278,"Question: 
Answer Choices are: 
a. [1, 0, 3, 2]
b. [3, 0, 2, 1]
c. [0, 1, 2, 3]
d. [2, 0, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is c.,1
52009,27,9708285,"Question: 
Answer Choices are: 
a. [2, 4, 1, 3, 0]
b. [0, 2, 3, 1, 4]
c. [0, 3, 2, 1, 4]
d. [1, 4, 2, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [1, 4, 2, 3, 0]",0
52010,27,9708317,"Question: 
Answer Choices are: 
a. [1, 0, 2, 3]
b. [2, 0, 3, 1]
c. [0, 3, 2, 1]
d. [1, 0, 3, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [1, 0, 3, 2]",1
52011,27,9708357,"Question: 
Answer Choices are: 
a. [3, 2, 1, 4, 0]
b. [3, 1, 2, 4, 0]
c. [4, 0, 3, 1, 2]
d. [4, 0, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [4, 0, 3, 2, 1]",0
52012,27,9708390,"Question: 
Answer Choices are: 
a. [2, 1, 3, 0]
b. [2, 1, 3, 0]
c. [3, 2, 1, 0]
d. [3, 1, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The correct order of events in the passage is c.,0
52013,27,9708418,"Question: 
Answer Choices are: 
a. [0, 2, 1]
b. [0, 2, 1]
c. [0, 1, 2]
d. [0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,d,0
52014,27,9708508,"Question: 
Answer Choices are: 
a. [1, 2, 0, 3]
b. [2, 3, 1, 0]
c. [0, 3, 1, 2]
d. [0, 1, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 1, 2, 3]",0
52015,27,970870,"Question: 
Answer Choices are: 
a. [0, 2, 1, 4, 3]
b. [0, 4, 2, 3, 1]
c. [0, 1, 4, 2, 3]
d. [4, 2, 3, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is b.,0
52016,27,9708801,"Question: 
Answer Choices are: 
a. [0, 1, 2, 3]
b. [3, 2, 1, 0]
c. [0, 3, 1, 2]
d. [1, 3, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is c.,0
52017,27,9708843,"Question: 
Answer Choices are: 
a. [2, 0, 1, 3, 4]
b. [2, 4, 3, 1, 0]
c. [2, 0, 3, 1, 4]
d. [0, 3, 1, 2, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [0, 3, 1, 2, 4]",0
52018,27,9708881,"Question: 
Answer Choices are: 
a. [0, 5, 2, 4, 3, 1]
b. [3, 5, 2, 1, 4, 0]
c. [1, 4, 3, 2, 0, 5]
d. [0, 4, 1, 3, 5, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 4, 1, 3, 5, 2]",0
52019,27,9708886,"Question: 
Answer Choices are: 
a. [3, 0, 1, 4, 2]
b. [1, 4, 2, 0, 3]
c. [0, 3, 4, 2, 1]
d. [3, 4, 1, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [3, 4, 1, 0, 2]",0
52020,27,9708905,"Question: 
Answer Choices are: 
a. [3, 2, 4, 1, 0]
b. [1, 3, 2, 0, 4]
c. [2, 1, 3, 4, 0]
d. [2, 3, 1, 0, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is c.,0
52021,27,9709047,"Question: 
Answer Choices are: 
a. [4, 5, 6, 2, 1, 3, 0]
b. [6, 0, 4, 5, 1, 2, 3]
c. [1, 4, 0, 5, 2, 6, 3]
d. [6, 4, 0, 5, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is c.,0
52022,27,9709085,"Question: 
Answer Choices are: 
a. [0, 1, 2]
b. [0, 1, 2]
c. [0, 1, 2]
d. [1, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [1, 0, 2]",0
52023,27,9709175,"Question: 
Answer Choices are: 
a. [0, 2, 1]
b. [1, 0, 2]
c. [1, 2, 0]
d. [1, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [1, 2, 0]",0
52024,27,9709332,"Question: 
Answer Choices are: 
a. [0, 3, 2, 1]
b. [0, 1, 3, 2]
c. [1, 0, 3, 2]
d. [3, 0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [3, 0, 2, 1]",0
52025,27,97094,"Question: 
Answer Choices are: 
a. [5, 3, 1, 4, 0, 2]
b. [4, 0, 2, 3, 1, 5]
c. [2, 0, 1, 5, 3, 4]
d. [2, 5, 3, 4, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [2, 5, 3, 4, 0, 1]",1
52026,27,9710440,"Question: 
Answer Choices are: 
a. [2, 1, 0]
b. [0, 1, 2]
c. [0, 1, 2]
d. [1, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is b.,0
52027,27,9710458,"Question: 
Answer Choices are: 
a. [4, 1, 0, 2, 3]
b. [2, 4, 1, 3, 0]
c. [2, 3, 0, 1, 4]
d. [2, 3, 1, 0, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 3, 1, 0, 4]",0
52028,27,9710496,"Question: 
Answer Choices are: 
a. [5, 2, 8, 7, 1, 0, 6, 4, 3]
b. [3, 1, 4, 7, 0, 2, 8, 5, 6]
c. [0, 6, 8, 4, 2, 3, 1, 5, 7]
d. [7, 3, 4, 5, 0, 6, 8, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"The correct order of events is a. [5, 2, 8, 7, 1, 0, 6, 4, 3]",0
52029,27,9710675,"Question: 
Answer Choices are: 
a. [4, 1, 0, 3, 2]
b. [4, 0, 1, 3, 2]
c. [3, 2, 4, 0, 1]
d. [2, 3, 0, 4, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"b. [4, 0, 1, 3, 2]",0
52030,27,9710712,"Question: 
Answer Choices are: 
a. [1, 0, 3, 2]
b. [3, 0, 2, 1]
c. [3, 0, 1, 2]
d. [3, 0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is d.,0
52031,27,9710765,"Question: 
Answer Choices are: 
a. [3, 4, 0, 2, 1]
b. [0, 4, 1, 2, 3]
c. [1, 4, 0, 3, 2]
d. [2, 3, 1, 4, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"The correct order of events is a. [3, 4, 0, 2, 1].",1
52032,27,9710768,"Question: 
Answer Choices are: 
a. [3, 0, 2, 1]
b. [0, 3, 1, 2]
c. [2, 0, 3, 1]
d. [2, 3, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [2, 3, 1, 0]",1
52033,27,9710940,"Question: 
Answer Choices are: 
a. [0, 6, 1, 5, 2, 3, 4]
b. [4, 5, 2, 3, 6, 0, 1]
c. [4, 5, 0, 6, 2, 1, 3]
d. [2, 0, 3, 4, 1, 6, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"The correct order of events is a. [0, 6, 1, 5, 2, 3, 4].",0
52034,27,9710974,"Question: 
Answer Choices are: 
a. [3, 0, 4, 1, 2]
b. [4, 3, 2, 1, 0]
c. [0, 1, 2, 3, 4]
d. [4, 1, 0, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"c. [0, 1, 2, 3, 4]",0
52035,27,9711208,"Question: 
Answer Choices are: 
a. [1, 2, 0, 3]
b. [3, 1, 2, 0]
c. [1, 3, 0, 2]
d. [0, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"The correct order of events is a. [1, 2, 0, 3].",0
52036,27,9711372,"Question: 
Answer Choices are: 
a. [3, 0, 1, 2]
b. [0, 2, 3, 1]
c. [3, 2, 1, 0]
d. [2, 3, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is a. [3, 0, 1, 2].",0
52037,27,9711577,"Question: 
Answer Choices are: 
a. [1, 6, 2, 4, 5, 3, 0]
b. [5, 1, 0, 4, 2, 6, 3]
c. [0, 6, 4, 3, 1, 5, 2]
d. [4, 3, 0, 2, 1, 6, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"a. [1, 6, 2, 4, 5, 3, 0]",0
52038,27,9712313,"Question: 
Answer Choices are: 
a. [3, 1, 0, 2]
b. [1, 2, 3, 0]
c. [3, 2, 1, 0]
d. [0, 2, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is c.,0
52039,27,9712,"Question: 
Answer Choices are: 
a. [1, 3, 2, 0, 4]
b. [3, 2, 4, 1, 0]
c. [4, 0, 3, 2, 1]
d. [0, 4, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [0, 4, 2, 3, 1]",0
52040,27,9713499,"Question: 
Answer Choices are: 
a. [0, 2, 3, 1]
b. [1, 3, 2, 0]
c. [0, 3, 1, 2]
d. [3, 2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"c. [0, 3, 1, 2]",0
52041,27,9713500,"Question: 
Answer Choices are: 
a. [1, 0, 2, 4, 3]
b. [0, 2, 1, 3, 4]
c. [0, 3, 4, 2, 1]
d. [2, 1, 0, 3, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is a. [1, 0, 2, 4, 3].",0
52042,27,9713939,"Question: 
Answer Choices are: 
a. [2, 4, 1, 3, 0]
b. [0, 1, 2, 4, 3]
c. [2, 1, 4, 0, 3]
d. [4, 0, 1, 3, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is a. [2, 4, 1, 3, 0]",0
52043,27,9713971,"Question: 
Answer Choices are: 
a. [4, 3, 0, 2, 1]
b. [2, 1, 0, 3, 4]
c. [3, 4, 2, 1, 0]
d. [3, 4, 2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The correct order of events in the passage is b.,0
52044,27,9713975,"Question: 
Answer Choices are: 
a. [2, 3, 1, 0, 4]
b. [3, 2, 4, 1, 0]
c. [2, 3, 1, 4, 0]
d. [1, 0, 3, 2, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [2, 3, 1, 4, 0]",0
52045,27,9714198,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [1, 0, 2]
c. [1, 0, 2]
d. [0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,d,1
52046,27,9714304,"Question: 
Answer Choices are: 
a. [5, 0, 6, 2, 3, 4, 1]
b. [0, 5, 1, 4, 2, 3, 6]
c. [6, 2, 1, 5, 0, 3, 4]
d. [4, 1, 3, 0, 6, 2, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"a. [5, 0, 6, 2, 3, 4, 1]",0
52047,27,9714308,"Question: 
Answer Choices are: 
a. [1, 0, 2]
b. [2, 1, 0]
c. [0, 2, 1]
d. [0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [0, 2, 1]",0
52048,27,9714389,"Question: 
Answer Choices are: 
a. [2, 1, 3, 4, 0]
b. [1, 4, 0, 3, 2]
c. [4, 1, 0, 2, 3]
d. [3, 0, 2, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [3, 0, 2, 1, 4]",0
52049,27,9714422,"Question: 
Answer Choices are: 
a. [2, 5, 4, 1, 0, 3]
b. [5, 2, 1, 4, 0, 3]
c. [1, 3, 4, 5, 0, 2]
d. [0, 3, 2, 5, 4, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [0, 3, 2, 5, 4, 1]",1
52050,27,9714964,"Question: 
Answer Choices are: 
a. [4, 0, 3, 2, 1]
b. [3, 4, 1, 0, 2]
c. [1, 4, 2, 3, 0]
d. [1, 0, 4, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [1, 0, 4, 2, 3]",0
52051,27,9715063,"Question: 
Answer Choices are: 
a. [2, 3, 1, 0]
b. [0, 1, 3, 2]
c. [0, 2, 1, 3]
d. [0, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 3, 2, 1]",0
52052,27,9715147,"Question: 
Answer Choices are: 
a. [0, 3, 6, 2, 5, 1, 7, 4]
b. [1, 4, 0, 5, 2, 3, 6, 7]
c. [7, 5, 0, 6, 1, 2, 3, 4]
d. [2, 3, 5, 7, 4, 6, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"c. [7, 5, 0, 6, 1, 2, 3, 4]",1
52053,27,9715157,"Question: 
Answer Choices are: 
a. [0, 1, 2, 3]
b. [3, 2, 0, 1]
c. [2, 3, 0, 1]
d. [1, 2, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"c. [2, 3, 0, 1]",0
52054,27,971528,"Question: 
Answer Choices are: 
a. [3, 1, 2, 0]
b. [0, 2, 1, 3]
c. [1, 2, 3, 0]
d. [0, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"b. [0, 2, 1, 3]",0
52055,27,9716090,"Question: 
Answer Choices are: 
a. [4, 3, 1, 0, 5, 2]
b. [3, 0, 4, 5, 2, 1]
c. [1, 4, 2, 5, 3, 0]
d. [0, 3, 1, 5, 4, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 3, 1, 5, 4, 2]",0
52056,27,971628,"Question: 
Answer Choices are: 
a. [0, 1, 3, 2]
b. [1, 3, 0, 2]
c. [3, 2, 1, 0]
d. [0, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 2, 3, 1]",0
52057,27,9716339,"Question: 
Answer Choices are: 
a. [1, 2, 0]
b. [0, 1, 2]
c. [2, 1, 0]
d. [2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [2, 1, 0]",0
52058,27,971760,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [2, 1, 0]
c. [2, 0, 1]
d. [2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 1, 0]",0
52059,27,97177,"Question: 
Answer Choices are: 
a. [3, 1, 2, 0]
b. [0, 1, 3, 2]
c. [1, 2, 3, 0]
d. [3, 2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,d,0
52060,27,9717,"Question: 
Answer Choices are: 
a. [1, 3, 4, 0, 2]
b. [0, 2, 3, 1, 4]
c. [0, 1, 3, 4, 2]
d. [1, 0, 3, 2, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [1, 0, 3, 2, 4]",0
52061,27,9718073,"Question: 
Answer Choices are: 
a. [0, 3, 2, 1]
b. [3, 0, 1, 2]
c. [2, 0, 3, 1]
d. [0, 3, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 3, 1, 2]",0
52062,27,9718074,"Question: 
Answer Choices are: 
a. [1, 2, 3, 0, 4]
b. [4, 0, 3, 1, 2]
c. [1, 3, 0, 4, 2]
d. [2, 3, 4, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is c.,0
